,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
35114,1176,135688.0,98185.0,28518.0,64975.0,3264.0,0.0,5515.0,829.0,-4004.0,6115.0,127890.0,15473.0,16.0,3/31/2010,1
35279,-735,80343.0,50859.0,14583.0,13532.0,3238.0,0.0,4220.0,868.0,-3647.0,2892.0,78093.0,0.0,15.0,3/31/2010,1
35517,11201,335798.0,301081.0,43593.0,210587.0,43461.0,0.0,9836.0,3729.0,-163.0,19413.0,271760.0,9044.0,77.0,3/31/2010,1
35586,117,111239.0,92708.0,16479.0,40074.0,23512.0,0.0,2102.0,924.0,-1855.0,15746.0,86138.0,134.0,18.0,3/31/2010,1
57110,12011,492491.0,358159.0,16829.0,281172.0,58807.0,155.0,12212.0,4315.0,-1686.0,48336.0,431423.0,20692.0,78.0,3/31/2010,1
57315,3060,102913.0,85968.0,19866.0,51262.0,14574.0,0.0,3096.0,977.0,-345.0,30465.0,63787.0,3086.0,35.0,3/31/2010,1
57360,7069,595318.0,435989.0,43374.0,259623.0,46985.0,0.0,12256.0,5412.0,-13448.0,20859.0,510893.0,56927.0,47.0,3/31/2010,1
57697,480,120246.0,79540.0,1441.0,53301.0,19245.0,0.0,6784.0,1243.0,-6580.0,8525.0,104718.0,9127.0,24.0,3/31/2010,1
57724,-317,104034.0,65031.0,7104.0,52235.0,5304.0,0.0,3813.0,936.0,-684.0,6153.0,93917.0,4024.0,20.0,3/31/2010,1
57735,-446,61215.0,58810.0,15417.0,27911.0,10969.0,0.0,5182.0,684.0,-1205.0,4515.0,53773.0,1000.0,12.0,3/31/2010,1
57814,-2177,240513.0,210642.0,11468.0,134021.0,24768.0,0.0,9253.0,2629.0,-9449.0,5650.0,218374.0,24770.0,23.0,3/31/2010,1
58362,3469,195510.0,139262.0,31823.0,100400.0,5887.0,0.0,8025.0,1611.0,-765.0,13303.0,149513.0,11670.0,29.0,3/31/2010,1
58429,-10986,441694.0,396899.0,46353.0,292970.0,51370.0,0.0,34827.0,3224.0,-2953.0,6038.0,442879.0,2367.0,23.0,3/31/2010,1
182,6714,447185.0,273912.0,67869.0,174213.0,13486.0,35.0,10213.0,9313.0,-11448.0,33412.0,364769.0,99558.0,146.0,6/30/2010,1
9619,5412,377469.0,290087.0,86250.0,104809.0,25062.0,0.0,9220.0,6763.0,-4343.0,16290.0,353726.0,15202.0,107.0,6/30/2010,1
10506,167,28248.0,23529.0,6460.0,10570.0,3546.0,0.0,1583.0,1517.0,-2101.0,3664.0,23384.0,2.0,13.0,6/30/2010,1
11636,10370,585445.0,376308.0,49340.0,257247.0,49903.0,0.0,18787.0,15256.0,-6187.0,42415.0,471623.0,125181.0,165.0,6/30/2010,1
15640,9396,2166431.0,1351238.0,321053.0,735639.0,259544.0,0.0,90007.0,29411.0,-39554.0,63239.0,1484164.0,694279.0,355.0,6/30/2010,1
17599,4306,493391.0,332552.0,77305.0,219430.0,28751.0,3580.0,18870.0,8704.0,-6792.0,23021.0,444763.0,90754.0,116.0,6/30/2010,1
17837,1588,130411.0,67268.0,24843.0,28875.0,4925.0,0.0,4359.0,2672.0,-3330.0,29687.0,97306.0,35736.0,45.0,6/30/2010,1
22643,10158,489019.0,317516.0,37807.0,218493.0,57977.0,1042.0,11557.0,11668.0,-14462.0,26426.0,448316.0,54667.0,105.0,6/30/2010,1
23181,7954,250488.0,201238.0,70627.0,114178.0,14583.0,0.0,11554.0,3341.0,-5273.0,30456.0,197479.0,16771.0,59.0,6/30/2010,1
25172,-10096,399441.0,290659.0,36444.0,229409.0,21574.0,0.0,19236.0,6407.0,-27145.0,37982.0,337540.0,30356.0,73.0,6/30/2010,1
25266,127,67918.0,52317.0,27356.0,11557.0,3776.0,0.0,1514.0,2538.0,-3909.0,16495.0,47213.0,1585.0,14.0,6/30/2010,1
27090,10883,312077.0,229556.0,29895.0,147809.0,46144.0,1331.0,11135.0,6873.0,-3340.0,63015.0,215817.0,19625.0,84.0,6/30/2010,1
27259,18586,337113.0,260099.0,61128.0,155261.0,14520.0,0.0,12239.0,3447.0,-339.0,34131.0,221369.0,15895.0,48.0,6/30/2010,1
27344,3094,156218.0,122326.0,36781.0,64440.0,5164.0,0.0,5547.0,3291.0,-3623.0,35336.0,106541.0,8891.0,53.0,6/30/2010,1
27559,6712,970235.0,687742.0,131058.0,513346.0,30539.0,335.0,12186.0,15786.0,-19030.0,28721.0,904088.0,21616.0,166.0,6/30/2010,1
27808,468,47523.0,37593.0,20006.0,17573.0,0.0,0.0,1268.0,1179.0,-1216.0,833.0,40718.0,0.0,10.0,6/30/2010,1
31964,15787,714574.0,580800.0,39079.0,406318.0,128025.0,0.0,18477.0,14239.0,-31587.0,42528.0,650142.0,35316.0,210.0,6/30/2010,1
32536,-4925,354966.0,241640.0,62656.0,170457.0,8388.0,0.0,10532.0,5794.0,-17105.0,42971.0,286570.0,56581.0,59.0,6/30/2010,1
33219,18757,498751.0,424292.0,94064.0,266493.0,33426.0,0.0,15745.0,12350.0,-4457.0,58273.0,412983.0,4150.0,211.0,6/30/2010,1
34231,-8067,264628.0,219223.0,48660.0,155252.0,13509.0,0.0,22400.0,5364.0,-16680.0,16452.0,252996.0,25911.0,40.0,6/30/2010,1
34486,-400,100649.0,76859.0,26749.0,37428.0,13867.0,0.0,4645.0,2179.0,-7370.0,13697.0,81403.0,8649.0,23.0,6/30/2010,1
35053,12083,288776.0,215475.0,59463.0,138720.0,9288.0,377.0,8787.0,5036.0,-2941.0,38285.0,237796.0,23282.0,45.0,6/30/2010,1
35061,5149,187819.0,137230.0,50732.0,78329.0,16917.0,0.0,4998.0,3173.0,-1734.0,15154.0,149440.0,9533.0,40.0,6/30/2010,1
35383,11246,619374.0,497131.0,160177.0,308725.0,23435.0,0.0,20056.0,9816.0,-8659.0,72748.0,478143.0,41392.0,121.0,6/30/2010,1
35434,1538,203690.0,118531.0,14543.0,85329.0,18570.0,7.0,4768.0,7633.0,-8351.0,15211.0,168774.0,38.0,30.0,6/30/2010,1
35462,4335,217743.0,165825.0,46476.0,58088.0,57968.0,0.0,8616.0,4924.0,-3509.0,9201.0,203411.0,14263.0,22.0,6/30/2010,1
57107,1534,81564.0,64739.0,12810.0,32212.0,14998.0,0.0,1960.0,1931.0,-1406.0,1143.0,78509.0,6575.0,10.0,6/30/2010,1
57448,3968,248151.0,156105.0,17506.0,129801.0,7067.0,0.0,7498.0,4701.0,-11276.0,9892.0,232939.0,24341.0,28.0,6/30/2010,1
57658,1145,160763.0,102670.0,8483.0,81855.0,11374.0,0.0,571.0,2459.0,-4812.0,37018.0,118513.0,16281.0,26.0,6/30/2010,1
58072,1132,190678.0,161590.0,44028.0,101932.0,14470.0,0.0,4278.0,6443.0,-4533.0,7527.0,181117.0,18146.0,30.0,6/30/2010,1
58197,945,168820.0,120508.0,27945.0,88815.0,3186.0,0.0,5190.0,2766.0,-7151.0,14796.0,145922.0,8472.0,27.0,6/30/2010,1
58308,3349,148575.0,119821.0,8288.0,105529.0,5433.0,0.0,4629.0,3046.0,-3214.0,5434.0,128127.0,6444.0,17.0,6/30/2010,1
2119,2683,126622.0,98809.0,25025.0,65844.0,1518.0,0.0,1334.0,3411.0,-7095.0,18550.0,104330.0,12262.0,35.0,9/30/2010,1
5287,8463,750724.0,572553.0,175660.0,343516.0,28089.0,0.0,37225.0,19338.0,-27757.0,36539.0,628213.0,96511.0,190.0,9/30/2010,1
14580,9020,654714.0,411257.0,126142.0,233365.0,53976.0,0.0,12604.0,16179.0,-22846.0,22062.0,565564.0,104592.0,136.0,9/30/2010,1
16089,3742,143451.0,112780.0,34873.0,54578.0,20044.0,0.0,2409.0,5152.0,-1938.0,33116.0,102359.0,10118.0,41.0,9/30/2010,1
