,1-4 family residential loans,Allowance for loan losses,AsOfDate,Available-for-sale Fair Value,Commercial and industrial loans,Credit cards,Net Income before,Number of full-time employees,Other real estate loans,Target,Total assets,Total equity capital,Total loans,Total noninterest expense,Total nontransaction deposits,Total transaction deposits
2490285,1281.0,547.0,,40392.0,4726.0,0.0,519.0,17.0,6701.0,,83510.0,6572,27164.0,1340.0,44547.0,32173.0
2491291,29592.0,5071.0,,79772.0,32535.0,0.0,-10023.0,67.0,194508.0,,400033.0,20165,261223.0,9292.0,326951.0,36362.0
2493110,34622.0,3064.0,,6018.0,11567.0,0.0,60.0,86.0,91865.0,,259382.0,37488,143378.0,6115.0,135863.0,74764.0
2493697,7551.0,934.0,,0.0,852.0,56.0,173.0,24.0,21487.0,,47990.0,8150,31114.0,1964.0,26480.0,13095.0
2496081,1761.0,389.0,,8649.0,3724.0,0.0,-421.0,9.0,7140.0,,31371.0,4126,12684.0,1431.0,26856.0,0.0
2497181,107311.0,7090.0,,178113.0,79197.0,0.0,7393.0,112.0,212665.0,,648232.0,71626,426348.0,9579.0,480321.0,30453.0
2502656,0.0,438112.0,,0.0,0.0,14077473.0,404149.0,31.0,0.0,,14509929.0,3411048,14077473.0,395815.0,723715.0,17220.0
2502825,0.0,0.0,,1031.0,0.0,0.0,36.0,3.0,0.0,,3478.0,2938,0.0,421.0,500.0,0.0
2505424,38748.0,1626.0,,20286.0,9966.0,91.0,949.0,25.0,32567.0,,122132.0,14623,89838.0,2324.0,75024.0,14153.0
2505451,53085.0,6156.0,,33511.0,15305.0,0.0,-2258.0,43.0,87206.0,,215146.0,16342,160811.0,4059.0,148341.0,38263.0
2505460,31625.0,1547.0,,24922.0,31171.0,0.0,1622.0,47.0,10285.0,,153465.0,15558,99694.0,3696.0,80667.0,53762.0
2505787,189640.0,14396.0,,236554.0,78597.0,0.0,10289.0,279.0,414048.0,,1114664.0,107635,706844.0,19585.0,912060.0,23636.0
2506056,32631.0,492.0,,17319.0,6212.0,0.0,343.0,19.0,6651.0,,76406.0,6714,50292.0,1679.0,58907.0,8595.0
2506328,20118.0,660.0,,31607.0,16932.0,0.0,396.0,43.0,37569.0,,167949.0,14835,78403.0,4178.0,112954.0,39740.0
2506757,82522.0,5880.0,,87986.0,88199.0,0.0,2561.0,78.0,174409.0,,497884.0,40208,365397.0,7362.0,290814.0,112258.0
2508751,224403.0,6578.0,,35740.0,294851.0,0.0,5478.0,650.0,188551.0,,1189701.0,125857,861780.0,51979.0,723670.0,185724.0
2512347,56996.0,5886.0,,41553.0,8902.0,1449.0,-2020.0,71.0,80699.0,,244772.0,6683,156340.0,7762.0,164290.0,34281.0
2514547,242206.0,26409.0,,359624.0,108693.0,0.0,4121.0,289.0,636992.0,,1543475.0,138439,1012970.0,32433.0,1112209.0,122646.0
2514837,23727.0,882.0,,2378.0,7957.0,0.0,59.0,34.0,21142.0,,79614.0,7312,58227.0,2616.0,43185.0,22410.0
2515320,34254.0,506.0,,58857.0,8749.0,0.0,-230.0,34.0,30841.0,,145906.0,14618,69953.0,4549.0,76110.0,33832.0
2516327,80289.0,18227.0,,177128.0,239708.0,0.0,13247.0,208.0,639144.0,,1528563.0,149803,1223559.0,25939.0,1060797.0,127236.0
2516626,123809.0,12049.0,,44903.0,63755.0,0.0,1526.0,167.0,301008.0,,661369.0,55267,494669.0,16753.0,494217.0,91657.0
2517182,29606.0,7981.0,,12364.0,42682.0,10.0,-3782.0,23.0,144546.0,,248640.0,28323,221823.0,3852.0,178060.0,22511.0
2518497,18511.0,3251.0,,40672.0,10622.0,0.0,1472.0,33.0,87550.0,,187190.0,23159,119956.0,3078.0,123122.0,27541.0
2524797,37275.0,12101.0,,49399.0,50105.0,85.0,4607.0,79.0,381043.0,,684155.0,83141,587148.0,9643.0,502559.0,56551.0
2528656,32642.0,975.0,,4340.0,2826.0,0.0,884.0,27.0,38747.0,,101969.0,13178,79239.0,2018.0,60302.0,19609.0
2529176,6998.0,1303.0,,43309.0,11255.0,0.0,878.0,24.0,24401.0,,139452.0,10655,48554.0,2361.0,52335.0,75319.0
2531562,24455.0,1758.0,,0.0,10130.0,0.0,1230.0,8.0,58945.0,,110037.0,14975,93793.0,1414.0,76493.0,14414.0
2531991,0.0,0.0,,0.0,0.0,0.0,4784.0,18.0,0.0,,353224.0,331755,267436.0,3278.0,0.0,0.0
2532082,52183.0,1865.0,,15930.0,8666.0,0.0,-137.0,60.0,42382.0,,154099.0,12662,112998.0,4874.0,100064.0,37345.0
2533043,15306.0,2530.0,,0.0,2388.0,0.0,-3550.0,21.0,43507.0,,88283.0,4166,61422.0,2851.0,68725.0,7526.0
2533119,42653.0,11721.0,,960.0,27763.0,0.0,231.0,47.0,275504.0,,392346.0,60032,348895.0,10196.0,265911.0,47906.0
2534086,23658.0,3051.0,,43837.0,8527.0,0.0,-5146.0,36.0,64669.0,,184750.0,1613,99260.0,5200.0,135205.0,36837.0
2535551,26299.0,1472.0,,8806.0,8399.0,0.0,533.0,44.0,38970.0,,104499.0,9598,80133.0,3200.0,61078.0,19299.0
2535560,53892.0,1882.0,,12095.0,17704.0,0.0,906.0,67.0,78945.0,,200794.0,19693,161002.0,4976.0,109946.0,65032.0
2536633,13941.0,433.0,,0.0,4453.0,0.0,237.0,11.0,11405.0,,37345.0,4099,33475.0,896.0,24292.0,6788.0
2539081,32733.0,2081.0,,41638.0,2624.0,0.0,527.0,58.0,72987.0,,213776.0,20439,115668.0,4049.0,124063.0,51336.0
2539960,14378.0,2839.0,,18396.0,20075.0,0.0,4522.0,30.0,72234.0,,236089.0,24849,189588.0,2508.0,151137.0,37251.0
2540537,33980.0,4135.0,,13056.0,34554.0,0.0,-2836.0,73.0,87885.0,,206769.0,10787,172538.0,7215.0,121927.0,53363.0
2550095,48545.0,4548.0,,0.0,14684.0,0.0,-5964.0,347.0,48238.0,,184573.0,23206,110300.0,27439.0,131150.0,21948.0
2552099,31329.0,2149.0,,16507.0,4786.0,304.0,-426.0,53.0,52012.0,,138618.0,12724,91554.0,4885.0,80088.0,37134.0
2558970,518933.0,18007.0,,164735.0,194875.0,0.0,4910.0,259.0,227574.0,,1461865.0,178004,969589.0,37054.0,971048.0,84866.0
2562137,16085.0,806.0,,6381.0,5728.0,0.0,832.0,18.0,23709.0,,80801.0,8655,62711.0,1806.0,53590.0,15748.0
2562164,43438.0,3486.0,,16063.0,25065.0,0.0,-373.0,76.0,126448.0,,283379.0,24581,198291.0,7178.0,172450.0,78458.0
