,Total equity capital,Total assets,Total loans,1-4 family residential loans,Other real estate loans,Commercial and industrial loans,Credit cards,Allowance for loan losses,Total noninterest expense,Net Income before,Total transaction deposits,Total nontransaction deposits,Available-for-sale Fair Value,Number of full-time employees,AsOfDate,Target
457547,67228,964939.0,614985.0,154705.0,360513.0,63528.0,0.0,21232.0,39630.0,-8752.0,89285.0,761339.0,227033.0,278.0,12/31/2011,0
457659,4315,43560.0,11967.0,4163.0,3851.0,971.0,0.0,159.0,1090.0,311.0,24607.0,14597.0,21129.0,13.0,12/31/2011,0
457752,28515,275739.0,173641.0,31508.0,91546.0,46897.0,526.0,2555.0,6621.0,4562.0,25313.0,181824.0,83747.0,47.0,12/31/2011,0
458049,4275,45723.0,22402.0,3769.0,7000.0,6144.0,0.0,777.0,1420.0,-88.0,9048.0,30768.0,20039.0,10.0,12/31/2011,0
458142,13193,124606.0,88779.0,42632.0,14738.0,3111.0,0.0,1501.0,2495.0,1466.0,17229.0,94018.0,12423.0,31.0,12/31/2011,0
458544,27031,226556.0,148610.0,42008.0,81435.0,13905.0,145.0,3483.0,9717.0,1841.0,96699.0,94997.0,13442.0,92.0,12/31/2011,0
458553,6737,56661.0,28553.0,2043.0,10370.0,2414.0,0.0,440.0,1468.0,520.0,11942.0,36832.0,15877.0,18.0,12/31/2011,0
458665,9954,111165.0,27205.0,1113.0,9316.0,9434.0,0.0,445.0,1905.0,518.0,62675.0,37532.0,70364.0,17.0,12/31/2011,0
458946,6507,62821.0,34749.0,6705.0,19043.0,8051.0,0.0,701.0,1713.0,949.0,18935.0,36462.0,17355.0,13.0,12/31/2011,0
459046,36763,185652.0,98190.0,25999.0,52511.0,12657.0,0.0,2167.0,5119.0,2161.0,62817.0,71604.0,9092.0,50.0,12/31/2011,0
459130,40504,317461.0,216073.0,58276.0,108109.0,18744.0,0.0,2496.0,13369.0,3043.0,105248.0,170162.0,16447.0,141.0,12/31/2011,0
459354,19513,226722.0,106859.0,29970.0,40196.0,9601.0,473.0,670.0,5960.0,4192.0,20555.0,184758.0,86731.0,81.0,12/31/2011,0
459372,48534,311010.0,170379.0,111268.0,55335.0,1607.0,0.0,899.0,5634.0,2190.0,67640.0,180791.0,222.0,50.0,12/31/2011,0
459448,5844,34780.0,19824.0,7622.0,7692.0,802.0,34.0,420.0,1109.0,129.0,8854.0,20016.0,0.0,12.0,12/31/2011,0
459644,6175,73688.0,48213.0,20580.0,10743.0,6713.0,151.0,383.0,2121.0,414.0,20167.0,39458.0,12902.0,24.0,12/31/2011,0
459671,77425,847960.0,504456.0,340542.0,110430.0,49633.0,0.0,5049.0,13870.0,3706.0,167782.0,570077.0,19549.0,102.0,12/31/2011,0
460033,60173,639243.0,417704.0,95809.0,257663.0,36553.0,0.0,5078.0,20630.0,5573.0,104223.0,462050.0,124917.0,160.0,12/31/2011,0
460332,54821,258350.0,143930.0,65788.0,74444.0,479.0,0.0,2582.0,5391.0,3113.0,46377.0,148008.0,1030.0,51.0,12/31/2011,0
460341,21435,154383.0,55128.0,8283.0,26606.0,7581.0,0.0,4110.0,2792.0,1757.0,33450.0,75122.0,82387.0,28.0,12/31/2011,0
460350,4574,35664.0,20899.0,3756.0,12330.0,1690.0,0.0,322.0,1221.0,195.0,10295.0,20732.0,4863.0,9.0,12/31/2011,0
460556,2950,40802.0,28989.0,423.0,6274.0,5008.0,0.0,530.0,1308.0,183.0,11848.0,25985.0,200.0,11.0,12/31/2011,0
460770,13845,109570.0,86089.0,30889.0,54364.0,7.0,0.0,1294.0,2841.0,240.0,2972.0,92405.0,0.0,18.0,12/31/2011,0
461058,11945,126744.0,48298.0,16147.0,16053.0,4109.0,0.0,781.0,4403.0,1226.0,65982.0,48391.0,38602.0,56.0,12/31/2011,0
462756,25607,310316.0,191981.0,53989.0,100662.0,23345.0,0.0,2954.0,13099.0,1864.0,119864.0,163746.0,18310.0,139.0,12/31/2011,0
463203,22873,138644.0,96323.0,19677.0,67641.0,6534.0,0.0,2536.0,6658.0,-4079.0,65221.0,50183.0,0.0,43.0,12/31/2011,0
463342,55093,524958.0,331091.0,46326.0,158652.0,112758.0,0.0,3460.0,13225.0,8104.0,102896.0,326166.0,114632.0,87.0,12/31/2011,0
463605,31159,233046.0,151678.0,65133.0,68312.0,7253.0,0.0,3037.0,8548.0,844.0,63140.0,132528.0,39995.0,104.0,12/31/2011,0
463650,68626,550175.0,447608.0,60401.0,212753.0,75961.0,0.0,7825.0,18067.0,4295.0,94946.0,355551.0,0.0,142.0,12/31/2011,0
463735,424628,4988392.0,2991483.0,978755.0,1103736.0,311134.0,0.0,90768.0,218400.0,41310.0,181148.0,3940334.0,1117037.0,1729.0,12/31/2011,0
464255,5100,59010.0,34997.0,920.0,2347.0,9644.0,0.0,504.0,1477.0,706.0,25503.0,28220.0,8390.0,15.0,12/31/2011,0
464750,15132,96444.0,43606.0,5480.0,11775.0,11593.0,0.0,1953.0,3255.0,960.0,33701.0,46477.0,33416.0,33.0,12/31/2011,0
464853,3012,35787.0,30673.0,3922.0,4801.0,19461.0,0.0,213.0,878.0,459.0,6272.0,23776.0,668.0,9.0,12/31/2011,0
465038,7717,164354.0,107862.0,58348.0,45774.0,3082.0,207.0,3182.0,7904.0,-4220.0,34621.0,121526.0,1689.0,35.0,12/31/2011,0
465243,15969,174690.0,122450.0,86685.0,23037.0,7821.0,358.0,1589.0,3932.0,2560.0,53895.0,89101.0,36362.0,32.0,12/31/2011,0
465337,12210,99448.0,44338.0,16228.0,15773.0,4980.0,0.0,747.0,3177.0,590.0,17649.0,65446.0,42416.0,27.0,12/31/2011,0
465524,7100,75579.0,57880.0,14206.0,20020.0,9576.0,0.0,1565.0,2761.0,550.0,17834.0,47461.0,7563.0,21.0,12/31/2011,0
465618,68853,560670.0,375558.0,141501.0,137936.0,56834.0,563.0,7157.0,13998.0,7785.0,31863.0,446172.0,126914.0,123.0,12/31/2011,0
465672,8540,80431.0,46369.0,27938.0,12622.0,1724.0,7.0,1602.0,2878.0,326.0,20212.0,49963.0,15414.0,27.0,12/31/2011,0
466044,9896,91279.0,50016.0,13030.0,17468.0,2565.0,0.0,731.0,1453.0,1234.0,25589.0,51688.0,33150.0,13.0,12/31/2011,0
466240,113526,681477.0,308445.0,74659.0,182034.0,25314.0,0.0,6088.0,21090.0,12491.0,63779.0,454920.0,161863.0,220.0,12/31/2011,0
466549,15562,116285.0,90475.0,32953.0,46504.0,4485.0,0.0,840.0,3057.0,1306.0,33534.0,57885.0,8001.0,35.0,12/31/2011,0
