,RIAD3210,RCON2170,RCON3360,RCONC410,RCONC411,RCON3123,RIAD4093,RIAD4340,RCON2215,RCON2385,RCON3545,Target,AsOfDate
3849,652645,48629,426201,5241,386378,0,3240,0,59061,13049,5024,0,9/30/2010
3850,116967,10972,89834,1147,91710,0,610,0,9097,2108,374,0,9/30/2010
3851,1504938,114755,1024705,14484,1206834,0,1029,0,139602,24438,15041,0,9/30/2010
3852,492650,66894,366445,5371,417491,0,0,0,57088,10419,3042,0,9/30/2010
3853,218642,32645,136510,2838,154331,0,0,1921,19282,4847,930,0,9/30/2010
3854,154124,14863,119337,3934,119453,0,690,0,15454,5175,-1105,0,9/30/2010
3855,840455,56055,602199,7433,698448,0,400,0,70675,14079,7701,0,9/30/2010
3856,322101,48571,214562,3031,261091,0,36,0,28882,5190,1917,0,9/30/2010
3857,113299,5817,84818,773,46728,0,0,0,8267,1983,887,0,9/30/2010
3858,1477702,126065,1198416,14025,949301,0,2025,318,110873,32373,5958,0,9/30/2010
3859,25160,0,0,0,0,0,0,0,22341,10156,2652,0,9/30/2010
3860,2693523,286301,1783836,29999,1557714,0,14578,0,286394,48115,10880,0,9/30/2010
3861,214934,34425,164500,2326,149244,0,4104,0,15369,4508,1369,0,9/30/2010
3862,13347,0,0,0,0,0,0,0,13291,148,310,0,9/30/2010
3863,786004,81176,609675,10545,609678,0,10062,0,70382,17726,5823,0,9/30/2010
3864,353762,28912,234218,5248,263584,0,3033,0,35650,7796,1507,0,9/30/2010
3865,66342,0,0,0,0,0,0,0,21564,160608,3122,0,9/30/2010
3866,573870,77421,400143,7425,474341,0,6275,0,64990,12304,5455,0,9/30/2010
3867,236078,30405,161427,2078,139203,0,535,0,22288,7373,1419,0,9/30/2010
3868,514375,24092,397972,6593,385181,0,1873,0,48652,10606,4053,0,9/30/2010
3869,321401,22336,234505,2725,163377,0,183,0,36634,7312,5446,0,9/30/2010
3870,523052,44243,359090,6770,391485,0,2431,0,51416,10926,4940,0,9/30/2010
3871,465042,31881,346487,4216,206756,0,619,102,49416,8289,2930,0,9/30/2010
3872,371913,32209,286301,2075,221609,0,669,0,40118,8278,3452,0,9/30/2010
3873,123815,37257,70326,1440,74381,0,25,0,16120,3045,102,0,9/30/2010
3874,137923,33339,86551,1593,103437,0,0,0,13745,2253,1706,0,9/30/2010
3875,24463,4573,12294,228,12125,0,0,0,1633,307,257,0,9/30/2010
3876,609488,0,0,0,0,0,0,0,593040,9002,3477,0,9/30/2010
3877,132630,57759,53030,902,112832,0,0,0,16241,2972,1864,0,9/30/2010
3878,171046,18461,141802,6574,151374,0,1911,0,10507,4755,-2722,0,9/30/2010
3879,253442,53954,160076,1890,141530,0,0,0,20684,5331,-594,0,9/30/2010
3880,44257,7446,31454,403,27934,0,0,0,2367,999,-641,0,9/30/2010
3881,294654,47578,192213,3622,235504,0,1534,121,21455,5797,1089,0,9/30/2010
3882,286651,134,500,0,0,0,0,0,232350,99826,8006,0,9/30/2010
3883,671564,106366,442753,10514,480531,0,0,0,68710,18842,-3243,0,9/30/2010
3884,52986,0,0,0,0,0,0,0,49403,2391,2364,0,9/30/2010
